guid,brisque
20230306-18h58m11s,68.62756561724828
20230307-00h42m29s,52.781413752318855
20230307-02h56m28s,77.24319244822303
20230307-13h26m40s,77.35571515612773
20230307-12h19m32s,52.92173370919946
20230307-14h07m21s,53.5863200990901
20230307-02h25m56s,76.761673107355
20230306-23h26m16s,61.32647032831167
20230307-00h01m54s,76.9178108447804
20230306-19h08m10s,77.54351867215732
20230306-19h41m31s,69.9118787114032
20230307-12h29m55s,65.62170386541132
20230307-12h04m13s,49.66648134087106
20230307-13h36m42s,45.6785768315726
20230307-13h01m36s,66.62867458107925
20230307-12h24m38s,55.3917518246183
20230307-16h27m48s,77.7094390957063
20230307-15h57m16s,47.192514053925976
20230307-14h44m07s,77.41416387085982
20230307-13h06m31s,58.3807331871769
20230307-14h34m09s,68.20400404366856
20230307-16h17m51s,67.20984573668929
20230307-11h44m15s,80.55348930923887
20230307-15h41m49s,48.34402171134255
20230307-13h52m01s,53.51633220905629
20230307-15h52m07s,53.984851037564766
20230307-14h28m44s,50.51550872482929
20230307-16h48m18s,67.59809374802799
20230307-13h41m48s,51.649879696521765
20230307-11h49m08s,60.144318463709595
20230307-12h34m50s,50.721481339371934
20230307-12h39m57s,49.5661013721506
20230307-13h57m08s,48.7466530018726
20230307-16h43m00s,49.47212013110092
20230307-11h59m19s,70.36698956268228
20230307-12h45m22s,69.41591374691663
20230307-15h36m40s,53.48074284837085
20230307-15h26m29s,53.8213067878406
20230307-16h37m53s,48.02608328350996
20230307-14h49m15s,70.78034421857419
20230307-11h39m03s,76.92604787431722
20230307-16h53m14s,48.9150743653403
20230307-13h47m06s,67.13973191303185
20230307-14h18m40s,66.91312791766993
20230307-12h14m37s,67.97995132324556
20230307-12h56m10s,49.040689669030854
20230307-13h16m44s,82.33624438471222
20230307-14h13m15s,45.16906872379221
20230307-15h31m46s,66.7913596656384
20230307-14h02m26s,68.32638652375752
20230307-11h54m10s,76.8637547794601
20230307-14h39m04s,61.752323258539974
20230307-15h47m12s,68.33991008930306
20230307-14h54m08s,61.01346547245052
20230307-13h31m50s,68.07699659184195
20230307-12h09m19s,52.88403477679614
20230307-16h33m00s,70.7418450914549
20230307-12h50m17s,49.27555366611469
20230307-16h07m38s,66.86014259142402
20230308-13h02m47s,66.63956595526284
20230307-22h32m50s,68.47632788663296
20230307-23h46m56s,68.37166607696926
